Rk,Player,Pos,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM
112,Torrey Craig\craigto01,SF,14.2,579,13.7,7.9,1.7,2.9,9.6,14.3,2.2,0.3
112,Torrey Craig\craigto01,SF,10.3,480,11.2,9.5,2.1,3.1,9.6,10.8,0.4,-0.9
112,Torrey Craig\craigto01,SF,15.5,603,14.5,7.4,1.6,2.8,9.5,15.5,1.8,0.8
113,Jae Crowder\crowdja01,PF,11.8,574,9.7,10.0,1.4,1.5,9.5,15.7,3.3,0.8
114,Jarrett Culver\culveja01,SG,8.8,476,11.3,6.8,1.6,1.6,12.9,18.2,-0.1,-6.6
115,Seth Curry\curryse01,SG,12.9,607,4.6,13.6,1.3,0.4,10.0,17.1,4.0,-0.9
116,Stephen Curry\curryst01,PG,26.3,655,8.5,30.5,1.7,0.3,12.2,34.8,9.0,8.1
117,Nate Darling\darlina01,SG,8.2,541,2.1,5.1,0.0,3.8,10.7,15.4,0.0,-4.2
118,Anthony Davis\davisan02,PF,22.1,556,13.8,16.4,1.9,4.5,9.5,29.2,3.7,4.5
119,Ed Davis\davised01,C,13.1,487,20.8,9.0,2.1,3.8,12.4,7.9,0.8,-2.9
120,Terence Davis\daviste02,SG,12.7,555,7.9,11.4,2.0,1.2,11.6,21.8,0.8,-2.0
120,Terence Davis\daviste02,SG,11.1,537,7.4,11.6,1.7,1.4,11.7,21.6,0.3,-3.1
120,Terence Davis\daviste02,SG,14.0,570,8.4,11.3,2.2,1.0,11.5,21.9,0.6,-1.2
121,Gabriel Deck\deckga01,PF,16.1,548,9.8,17.3,1.8,0.0,7.3,16.6,0.5,-0.4
122,Dewayne Dedmon\dedmode01,C,24.5,735,23.4,9.6,2.1,3.0,14.5,19.3,1.1,1.9
123,Matthew Dellavedova\dellama01,PG,7.3,312,6.0,35.3,0.9,0.4,9.4,12.4,0.0,-6.6
124,DeMar DeRozan\derozde01,PF,22.0,591,6.7,32.0,1.3,0.6,9.7,26.1,7.4,3.2
125,Mamadi Diakite\diakima01,PF,12.3,477,12.7,7.0,2.3,3.8,6.1,14.6,0.3,-2.7
126,Hamidou Diallo\diallha01,SG-SF,14.3,541,11.9,13.3,1.6,1.7,12.0,22.2,1.6,-2.3
126,Hamidou Diallo\diallha01,SG,15.0,536,11.3,16.4,1.9,1.4,12.1,22.5,1.0,-1.7
126,Hamidou Diallo\diallha01,SF,13.1,549,12.8,8.3,1.1,2.2,11.7,21.6,0.6,-3.4
127,Gorgui Dieng\dienggo01,C,19.2,670,13.5,12.0,2.3,2.6,14.3,17.4,2.1,3.0
127,Gorgui Dieng\dienggo01,C,19.2,682,14.0,10.6,2.2,3.4,14.8,17.0,1.5,2.6
127,Gorgui Dieng\dienggo01,C,19.0,648,12.3,15.0,2.4,0.9,13.2,18.2,0.7,3.7
128,Spencer Dinwiddie\dinwisp01,SG,10.1,536,11.2,17.6,1.5,1.4,21.2,16.1,0.1,-1.4
129,Donte DiVincenzo\divindo01,SG,13.0,542,11.0,14.2,1.9,0.7,12.5,16.7,3.6,-0.1
130,Luka Dončić\doncilu01,PG,25.3,587,12.8,44.1,1.4,1.5,15.3,36.0,7.7,6.7
131,Luguentz Dort\dortlu01,SG,10.1,513,6.4,8.8,1.4,1.1,10.0,21.7,0.3,-3.7
132,Damyean Dotson\dotsoda01,SG,8.1,499,5.7,15.1,0.9,0.4,12.0,16.9,0.0,-4.8
133,Devon Dotson\dotsode01,PG,19.3,548,5.5,21.4,3.9,0.0,0.0,18.2,0.2,2.1
134,Sekou Doumbouya\doumbse01,PF,6.9,459,9.2,8.0,1.4,0.9,12.4,17.8,-0.2,-7.0
135,PJ Dozier\doziepj01,SG,10.4,501,9.5,11.2,1.4,2.0,10.7,17.2,1.1,-3.0
136,Goran Dragić\dragigo01,PG,13.0,552,7.2,25.9,1.2,0.6,16.2,24.5,1.3,-3.0
137,Andre Drummond\drumman01,C,19.4,519,24.9,13.2,2.5,3.5,15.8,27.6,2.0,-0.9
137,Andre Drummond\drumman01,C,20.5,500,26.1,16.2,2.7,3.6,15.6,31.3,0.6,-0.3
137,Andre Drummond\drumman01,C,17.9,554,23.1,9.0,2.2,3.4,16.0,22.4,1.4,-1.7
138,Jared Dudley\dudleja01,PF,4.4,333,14.6,7.6,0.6,1.1,18.2,5.9,0.1,-4.7
139,Kris Dunn\dunnkr01,PG,-5.7,182,7.3,5.4,2.2,3.9,17.9,16.2,-0.2,-13.9
140,Kevin Durant\duranke01,PF,26.4,666,11.8,27.5,1.0,3.4,14.5,31.2,5.0,6.9
141,Anthony Edwards\edwaran01,SG,13.9,523,7.9,14.6,1.7,1.3,10.7,27.0,0.8,-2.6
142,Carsen Edwards\edwarca01,SG,10.2,527,5.2,7.4,1.2,0.3,5.7,19.3,0.3,-4.8
143,CJ Elleby\ellebcj01,SF,9.4,468,8.9,7.1,1.5,1.4,6.4,17.4,0.1,-5.6
144,Henry Ellenson\ellenhe01,PF,12.8,476,17.4,18.9,0.0,0.0,0.0,17.9,0.1,-2.1
145,Wayne Ellington\ellinwa01,SG,12.2,625,4.7,10.2,0.9,0.8,8.5,16.7,1.9,-0.4
146,Joel Embiid\embiijo01,C,30.3,636,18.7,16.2,1.5,3.9,12.2,35.3,8.8,7.2
147,James Ennis\ennisja01,SF,12.5,613,8.7,9.3,1.6,0.6,11.3,13.9,2.0,-2.1
148,Drew Eubanks\eubandr01,C,17.9,618,17.0,7.9,1.2,5.5,15.2,17.1,2.3,0.0
149,Dante Exum\exumda01,SG,5.9,428,8.2,15.8,1.7,1.5,20.7,12.7,-0.1,-3.1
150,Tacko Fall\fallta01,C,19.6,660,21.3,3.1,0.4,13.7,14.4,13.2,0.5,1.1
151,Derrick Favors\favorde01,C,19.7,663,19.2,6.0,1.5,5.3,11.5,13.0,5.1,2.0
152,Cristiano Felício\feliccr01,C,14.7,574,17.2,13.6,2.3,0.0,16.6,12.4,0.3,-0.3
153,Terrance Ferguson\fergute01,SG,-7.1,143,1.1,4.9,1.0,0.0,36.4,9.7,-0.2,-14.8
154,Bruno Fernando\fernabr01,C,6.2,475,18.9,5.8,0.9,1.2,28.1,14.4,-0.1,-7.0
155,Yogi Ferrell\ferreyo01,PG,14.4,459,7.8,22.9,2.5,2.0,4.7,20.7,0.3,-0.6
155,Yogi Ferrell\ferreyo01,PG,12.4,434,9.8,20.9,3.7,2.2,12.1,27.1,0.0,-1.5
155,Yogi Ferrell\ferreyo01,PG,15.3,473,7.0,23.7,2.1,1.9,0.0,18.0,0.3,-0.2
156,Dorian Finney-Smith\finnedo01,PF,12.0,609,9.3,7.2,1.3,1.2,9.0,12.2,4.4,-0.1
157,Malik Fitts\fittsma01,PF,2.9,500,15.3,0.0,0.0,0.0,0.0,12.1,0.0,-10.2
158,Malachi Flynn\flynnma01,PG,10.9,484,6.9,21.4,2.0,0.8,10.5,19.0,0.8,-2.8
159,Bryn Forbes\forbebr01,SG,12.8,631,4.3,4.5,0.8,0.1,7.3,18.5,2.7,-1.4
160,Trent Forrest\forretr01,PG,11.2,554,7.7,19.9,1.5,1.1,20.9,14.3,0.7,-2.2
161,Evan Fournier\fournev01,SF-SG,16.7,598,5.4,18.6,1.8,1.4,10.8,23.1,2.8,1.0
161,Evan Fournier\fournev01,SF,18.2,604,4.9,20.9,1.7,1.0,11.3,26.2,1.7,1.3
161,Evan Fournier\fournev01,SG,14.1,584,6.3,14.9,2.1,2.0,9.6,18.0,1.1,0.5
162,De'Aaron Fox\foxde01,PG,20.7,565,5.5,32.7,2.1,1.1,11.9,31.0,4.2,1.4
163,Robert Franks\frankro01,PF,16.5,638,7.2,7.4,1.4,2.7,5.6,15.3,0.3,-0.3
164,Tim Frazier\fraziti01,PG,-0.5,177,6.8,30.8,1.5,1.5,15.0,18.1,-0.2,-12.9
165,Markelle Fultz\fultzma01,PG,12.0,458,6.0,33.1,1.8,0.8,13.8,26.2,-0.1,-4.6
166,Wenyen Gabriel\gabriwe01,PF,9.8,533,12.2,5.9,1.8,3.1,18.2,14.4,0.3,-3.3
167,Daniel Gafford\gaffoda01,PF-C,22.2,697,15.8,5.3,1.5,8.1,13.1,16.7,3.5,2.5
167,Daniel Gafford\gaffoda01,PF,18.8,700,14.9,6.2,1.4,7.7,17.3,14.4,1.5,0.5
167,Daniel Gafford\gaffoda01,C,25.4,696,16.6,4.4,1.7,8.4,10.2,18.9,2.0,4.4
168,Danilo Gallinari\gallida01,PF,16.3,613,9.5,9.2,1.2,0.7,7.2,21.2,3.7,0.9
169,Langston Galloway\gallola01,SG,12.1,605,5.4,8.0,0.9,0.0,7.6,17.3,0.9,-1.4
170,Darius Garland\garlada01,PG,14.2,547,4.0,30.9,1.8,0.3,16.0,24.9,1.2,-1.6
171,Marc Gasol\gasolma01,C,12.2,606,12.2,14.7,1.3,5.2,19.7,11.8,2.8,2.1
172,Rudy Gay\gayru01,PF,14.7,532,11.9,9.7,1.6,2.5,8.8,23.6,1.7,-0.3
173,Paul George\georgpa01,SF,20.5,598,11.1,24.6,1.7,1.2,14.5,30.0,5.3,3.7
174,Taj Gibson\gibsota01,PF,16.0,661,14.5,5.4,1.7,5.0,10.8,9.7,3.8,1.4
175,Harry Giles\gilesha01,C,12.4,496,20.4,11.3,1.1,3.3,15.5,15.9,0.5,-3.6
176,Shai Gilgeous-Alexander\gilgesh01,SG,21.6,623,7.3,31.2,1.1,1.7,13.7,27.8,3.5,3.8
177,Anthony Gill\gillan01,PF,13.7,597,12.4,6.7,2.1,1.5,10.7,14.2,0.6,-1.2
178,Freddie Gillespie\gillefr01,PF,13.4,563,13.6,3.2,1.6,5.1,10.9,12.2,0.9,-3.2
179,Rudy Gobert\goberru01,C,23.5,683,23.3,6.0,0.9,7.0,13.7,17.0,11.3,4.5
180,Brandon Goodwin\goodwbr01,PG,9.2,471,6.1,21.6,1.3,0.0,13.0,19.5,0.2,-3.5
181,Aaron Gordon\gordoaa01,PF,14.5,547,11.1,17.8,1.2,2.3,14.7,20.7,1.9,0.0
181,Aaron Gordon\gordoaa01,PF,14.9,537,11.7,23.0,1.1,2.5,16.5,23.8,0.6,0.6
181,Aaron Gordon\gordoaa01,PF,14.1,564,10.3,11.8,1.3,2.1,11.7,17.2,1.3,-0.6
182,Eric Gordon\gordoer01,SG,14.4,577,3.9,14.6,0.8,1.5,10.9,25.2,0.8,-0.6
183,Devonte' Graham\grahade01,PG,14.6,552,4.8,26.3,1.4,0.4,10.2,21.4,3.4,0.5
184,Jerami Grant\grantje01,SF,16.9,556,7.6,14.3,0.9,2.8,9.1,28.5,3.2,0.9
185,Danny Green\greenda02,SF,12.1,582,7.4,8.3,2.3,2.6,10.7,14.0,4.6,1.5
